,Comments,Positive,Negative,Neutral,Compound,Sentiment
2855,ask guys title suggestion thesis undergradute data science analyst fieldi really stucked ,0.0,0.0,1.0,0.0,Neutral
2856,😂 data science  would pay idiots ds comes box automation platforms like servicenow  ai engine makes data scientists look like  years ago academia busted “big data” fraudulent con game,0.149,0.137,0.714,0.1027,Positive
2857,best,1.0,0.0,0.0,0.6369,Positive
2858,bad news hated math school days  good news liking actually implementing,0.276,0.379,0.345,-0.4767,Negative
2859,walking footsteps,0.0,0.0,1.0,0.0,Neutral
2860,thanks definitely adding weight yt algorithm,0.583,0.0,0.417,0.6808,Positive
2861,youre fool dont know dream code code dreams,0.219,0.376,0.405,-0.2359,Negative
2862,great series,0.804,0.0,0.196,0.6249,Positive
2863,plan nba game simulation videos like incorporating previous scores games player stats trends well found super interesting made additions,0.427,0.0,0.573,0.8807,Positive
2864,thanks information,0.744,0.0,0.256,0.4404,Positive
2865,whenever feel like questioning decision learn datascience came back videos dont know progress know roughly whatever projects youre talking video kind projects actually maybe actually progress fingers crossed 🤞🤞,0.164,0.169,0.667,0.211,Positive
2866,indeed great video,0.672,0.0,0.328,0.6249,Positive
2867, last video round golf think coincidence 🤓ken thank  challenge really helped evaluate  organize time feel little bit confident knowledge ds ideas move forward projects im grateful opportunity access new courses udemy  nvidiai keep moving forward initiative helped much start round  right away videos one focused projects share sure ,0.329,0.0,0.671,0.9487,Positive
2868, dog  okeyyyy 🐶so statistics yeap think mathematically important ds get stuck sometimes thinking best way play features really stuck advice thisits nice hear story experience vs interest give nice path ds ml share learn videos thank ,0.42,0.077,0.503,0.9493,Positive
2869,amazing wake early even winter that’s probably key clear mind,0.444,0.0,0.556,0.7506,Positive
2870,great stage    days starting journey,0.506,0.0,0.494,0.6249,Positive
2871,hey ken  ok experienced data scientists  observed constantly looking help google stack overflow simplest topics well make video beginners practice data wrangling become strong neural path tasks thanks 😊,0.365,0.0,0.635,0.9042,Positive
2872,sexy field accompanied sexy hardwerk sexy youtubers,0.718,0.0,0.282,0.8807,Positive
2873,hi ken thanks short notes,0.42,0.0,0.58,0.4404,Positive
2874,got  acer aspire  perfectly job ,0.512,0.0,0.488,0.6369,Positive
2875,thanks,1.0,0.0,0.0,0.4404,Positive
2876,hi ken thanks showing goal setting routine sheets,0.293,0.0,0.707,0.4404,Positive
2877,think building elo ranking might appropriate golf trying build golf model somewhat lost,0.0,0.143,0.857,-0.2516,Negative
2878,hey man love channel glad see person struggles daily time management  currently experimenting pomodoro technique tried timekeeping device timeular tracks much time spend certain topic favorite techniquesdevicesapps use stay game,0.309,0.063,0.628,0.8689,Positive
2879,youve got vibe vegetable policevegetable conspiracies,0.0,0.0,1.0,0.0,Neutral
2880,hi ken stats undergrad want get ai stick stats go comp sci thoughts ideas opinions thanks,0.231,0.0,0.769,0.4939,Positive
2881,hi ken,0.0,0.0,1.0,0.0,Neutral
2882,hi ken took  year learn fully solve rubix cube whole one year able solve  layers finally decided need finish cube learn  layer well within week learned whole cube personal best  minutes  seconds thats point point hotel management student mba finance third tier institute great deal learning programming stats  cube give strength sooner later figure everything become expert thanks ken jee inventing  keep stick plan get going,0.26,0.0,0.74,0.9622,Positive
2883,hi ken,0.0,0.0,1.0,0.0,Neutral
2884,videos i’ve watched people say can’t start data analyst later become data scientist plus often mentioned order data scientist need bachelors degree field think i’d love know thank ,0.205,0.0,0.795,0.7717,Positive
2885,ken made dataset kaggle nba top shot nfts would curious see work sports analysis magic see could find correlations player performance season value players moments marketplace,0.22,0.0,0.78,0.6705,Positive
2886,hello  thank much informative video  wanted ask anybody heard thoughts data science masters rutgers university  fairly new program established  cant seem find many testimonials thanks,0.19,0.0,0.81,0.6597,Positive
2887,oh man fifty papayas thats lot line hahagood reminder simple baseline model compare simplicity important also recognize monte carlo simulation gscleveland video way back,0.073,0.0,0.927,0.2023,Positive
2888,actually watched baseball games understand game works points system works many thingsi also replicated code spyder need study code need understand iti also watched astros game think used signs manipulate shots still understand whole matter things happen reduces interest people,0.097,0.0,0.903,0.4767,Positive
2889,best,1.0,0.0,0.0,0.6369,Positive
2890,thanks new sports analytics video came across many new terms concepts video wish good luck march madness papayaking,0.42,0.106,0.474,0.8225,Positive
2891,whats deal papayas love papayas much  😅😅,0.412,0.0,0.588,0.6369,Positive
2892,didnt understand anything still watched whole video dont know 😂😂😂,0.0,0.0,1.0,0.0,Neutral
2893,gonna lie thought said pot pies beginning thinking bet could get behind,0.0,0.0,1.0,0.0,Neutral
2894,looking forward sports analytics content,0.0,0.0,1.0,0.0,Neutral
2895,love sports amazing ken,0.8,0.0,0.2,0.8402,Positive
2896,lmao didnt sleep last  hours build ml model gave bracket thats  last place pool smh,0.203,0.12,0.677,0.3818,Positive
2897,lke  man ,0.0,0.0,1.0,0.0,Neutral
2898, use ctrl   cmd  copy whole cell,0.0,0.0,1.0,0.0,Neutral
2899,great video except link bracket isn’t working believe posted link join group instead link viewable bracket,0.31,0.0,0.69,0.743,Positive
2900,ok  time  days ive seen  heard rothmans book referenced  time buy,0.18,0.0,0.82,0.296,Positive
2901,wonder many people picked drake win name,0.388,0.0,0.612,0.5859,Positive
2902,gold,0.0,0.0,1.0,0.0,Neutral
2903,sports  trying understand everything said video haha🤣💯🙌,0.0,0.0,1.0,0.0,Neutral
2904, never chance time fridays saturdays  days data today lucky dayi like one gives insights make decisions help athletes improve performancein past difficult keep track athlete responding training loads sleeping recovering variables differ gender position game sport fascinating see products data science applied helped organizations coaches athletes find invisible reasons bad performance injury  think psychological component evaluated could great area focus ,0.234,0.133,0.633,0.8385,Positive
2905,great content wouldn’t mind sharing model averaging stacking sports analytics normal practice common models sports analytics saybasketball particular ,0.301,0.0,0.699,0.7845,Positive
2906,thank sharing project presentation also thank resources really nice project  also watched march madness latest video thanks coming new sports analytics videos,0.422,0.089,0.489,0.8718,Positive
2907,sir please tell going right direction done training machine learning training focused less working data algorithmsi stopped learning ml heavily focused working data understanding working bi planning work ml right track,0.206,0.052,0.742,0.6808,Positive
2908,quick storyi live vegas love sports obviously matter time started thinking could beat bookusing brain spreadsheets wasnt cutting mustard started researching people used computers figure efficient ways winning playerthats discovered data science saw much field figuring beat vegas hooked data science journey  began,0.253,0.0,0.747,0.8972,Positive
2909,miss trex 🦖,0.0,0.615,0.385,-0.1531,Negative
2910,liveedge dining table  also lit 🔥,0.0,0.0,1.0,0.0,Neutral
2911,good see back sports analytics game 🔥,0.367,0.0,0.633,0.4404,Positive
2912,know little sports us seems interesting ds concepts shared  really hope u win 🤜,0.607,0.0,0.393,0.9076,Positive
2913,great video ken  real papaya,0.506,0.0,0.494,0.6249,Positive
2914,auburn fan virginia vest gives flashbacks,0.315,0.0,0.685,0.3182,Positive
2915,one nerdiest funnest videos ive ever seen,0.524,0.0,0.476,0.6705,Positive
2916,heck yeah back sports content loved took us journey building model awesome see perspective,0.481,0.0,0.519,0.8807,Positive
2917,hi think college think project based learning best way learn better learn concepts thanks,0.476,0.0,0.524,0.875,Positive
2918,hi great video sports analytics definitely cool,0.695,0.0,0.305,0.8442,Positive
2919,man place  got vibes,0.0,0.0,1.0,0.0,Neutral
2920,yes,1.0,0.0,0.0,0.4019,Positive
2921,still working  got error imapunorderediterator object attribute writeto    cant find  solution,0.0,0.341,0.659,-0.5664,Negative
2922,hello  thanks videos really love ill graduate summer ill masters degree pharmacy right im really interested data science ive started course dataquest really enjoy think person like pharmacy degree could useful field data science yes think maybe bootcamp would useful,0.408,0.101,0.492,0.9567,Positive
2923,hie willing something related sports analysis ive done graduation statistics would suggest good colleges courses related sports analytics usa thankyou,0.132,0.0,0.868,0.4404,Positive
2924, use dictfromkeys ,0.0,0.0,1.0,0.0,Neutral
2925,great see  years,0.672,0.0,0.328,0.6249,Positive
2926,"thanks watching everyone links mentioned 👀kaggle notebook sim  elo see win  papayas model comparison tool simulation tool elo rating website ",0.271,0.0,0.729,0.7717,Positive
2927, aha right timing video im really happy find im making decision easy decision great see pros consi think dont mention title one self study  option great insights min  focus time money effort personal projects building 🧐,0.327,0.0,0.673,0.9441,Positive
2928,wise move give sql dont know like language currently masters data science program literally teaching us r python sql time please give advice,0.204,0.08,0.717,0.509,Positive
2929,used mac,0.0,0.0,1.0,0.0,Neutral
2930,im definitely struggling imposter syndrome right video helped feel confident fact know things skills thanks,0.389,0.124,0.487,0.7184,Positive
2931,"really great one actually confused using jupyter initially figured nowi got following results simulationgsw win   cle win   tie   thank ken video really excited start project scratch series",0.424,0.057,0.519,0.9421,Positive
2932,appear syntaxerror invalid syntax enddate  enddate,0.0,0.0,1.0,0.0,Neutral
2933,noooooooooooooyou murdered btw company provide internship,0.0,0.468,0.532,-0.6597,Negative
2934,found gem really cool see  subs one point well also nice see kept video topics well done ken 💪 going watch  subs video 😁,0.348,0.0,0.652,0.8221,Positive
2935,oura ring lets know hes data scientist,0.0,0.0,1.0,0.0,Neutral
2936, way easier learn code great insights linksin prehistoric times learned pascal book could practice college pcs learned c c java everything programming easier recycling code best think love python ilovepython  ,0.44,0.0,0.56,0.959,Positive
2937,hi install nbasimulator  conda installation nbaapi got directly installedis one different also prerequisites using jupyterbut thanks video understood concept video confused using tools,0.111,0.088,0.802,0.1531,Positive
2938,guy surely underrated thanks finally wrap head around data science,0.42,0.0,0.58,0.7003,Positive
2939,excellent insights relatable switched mechanical engineering computer science one word describe transition persistence persistence ,0.222,0.0,0.778,0.5719,Positive
2940,thanks explaining technique really interesting,0.663,0.0,0.337,0.7089,Positive
2941,hi ken jee really find inputs relevant starting data analysis goals learn basics branch sas data programming time looking forward cloud data sas siya go microsoft,0.0,0.0,1.0,0.0,Neutral
2942,need pass jee examinationsor entrance exams study data science indiaand also suggest good institutions india take data science courses,0.139,0.0,0.861,0.4404,Positive
2943, sound siren hegreat tutorial basic understandable done lot sql life lot short story tool badly developed one past jobs app sql version users fix unfortunate trash application data ,0.0,0.19,0.81,-0.7269,Negative
2944,heyhope youre well forrest knight brought looking forward watching videos thanks,0.357,0.0,0.643,0.6124,Positive
2945,motivating update future ray whomever reading got promoted lead solutions engineer i’ve company  months coding less year keep going got,0.312,0.0,0.688,0.7717,Positive
2946,yeah plotly pretty nifty hard time understanding logic things past basic plots documentation little lacking trying customize something poker analysis using plotly understand struggle,0.263,0.12,0.617,0.6597,Positive
2947,hello ken thanks advices think reading books instead options  im finishing electronics engineering would like work data scientist ive already reading couple books dont know going enough thanks,0.249,0.0,0.751,0.8074,Positive
2948,got invited correlationone data science work free gonna take  saturdays im life,0.231,0.0,0.769,0.5106,Positive
2949,simulation really cool one year ago advance cooler versions golf simulator,0.206,0.0,0.794,0.3804,Positive
2950,ken jee nono king jee,0.0,0.0,1.0,0.0,Neutral
2951, im getting website instead  im getting hugo tutorial create theme,0.189,0.0,0.811,0.2732,Positive
2952,video able understand analysis im anaware golf little confusing me😁 analysis good like parameters consider try perform similar action analysing another sports data🙌,0.2,0.06,0.741,0.5849,Positive
2953,thanks recommendation books,0.592,0.0,0.408,0.4404,Positive
2954,getting ba philosophy hoping get masters computer science,0.286,0.0,0.714,0.4215,Positive
2955,theres certificates theres certificates right uc berkeley extension certificate data science stack,0.0,0.0,1.0,0.0,Neutral
2956,degree best data science,0.583,0.0,0.417,0.6369,Positive
2957,sometimes quit data science data science doesnt quit us,0.0,0.0,1.0,0.0,Neutral
2958,sir drop whatsapp,0.0,0.512,0.488,-0.2732,Negative
2959,"hi im problem get data apparently problem arround line code trying bypass sing thingtry        driverfindelementbyclassnameselectedclicki get error nosuchelementexception element unable locate element methodcss selectorselectorselected  session info  find elementthanks advance",0.0,0.238,0.762,-0.7964,Negative
2960, interesting one know focus ds could overall reminder ask finding job one like development opportunities within company must grow remain doesnt help ,0.278,0.08,0.642,0.6749,Positive
2961,one tell put path variable  dont use chrome,0.0,0.0,1.0,0.0,Neutral
2962,thank details also would like share opinion social media  data science,0.474,0.0,0.526,0.7351,Positive
2963,good learning mathematical patterns data science,0.367,0.0,0.633,0.4404,Positive
2964,hii siri electrical engineering background want opt  data computational science masters mtec good transition ,0.259,0.0,0.741,0.4939,Positive
2965,starting journey field data science find videos really informative time motivating tooit kind share personal experience thoughts knowledge know worldit really shows persons ability lies willso really thank wish great life ahead 😊😊,0.439,0.056,0.504,0.9581,Positive
2966,great video apply something similar golf want know probability player winning another player tournament,0.444,0.0,0.556,0.8316,Positive
2967,thanks promo code ☺️,0.492,0.0,0.508,0.4404,Positive
2968, seriously  books 📚thats crazy heroas always really nice hear reviews must confess im good reading audible becoming best friend im hearing designing life book changing life also paper im mathletics im taking notes hope read least nine recommended ,0.347,0.079,0.575,0.9324,Positive
2969,first handson spyder really nice tool  tried commands video interesting tried understand terms mentioned try explore try different variations thanks ken video,0.314,0.0,0.686,0.8268,Positive
2970,amazing stuff didnt even know needed,0.432,0.0,0.568,0.5859,Positive
2971,thanks ken sharing,0.851,0.0,0.149,0.6908,Positive
2972,love starting tomorrow,0.677,0.0,0.323,0.6369,Positive
2973,read everybody else done every coach read unique,0.0,0.0,1.0,0.0,Neutral
2974,right trying install anaconda fine use python  version heard python  stable version available anaconda,0.25,0.0,0.75,0.4588,Positive
2975,thanks much ken learning lot mini series understand appreciate time energy commitment surely hope shall continue series,0.594,0.0,0.406,0.9337,Positive
2976,hello question keras model keras model project take long time like  day data update every week save model one save model update data going learning model start  tensorflow  py ,0.255,0.0,0.745,0.836,Positive
2977,wow green landscape backdrop  jealous,0.388,0.306,0.306,0.2023,Positive
2978,great video im thinking going consuming watched video gleb wondering couple videos data freelancing getting clients stuff like don’t even know i’m marketing honestly,0.355,0.0,0.645,0.875,Positive
2979,regrets wouldnt channel wouldnt fail university would start become data scientist,0.0,0.351,0.649,-0.5952,Negative
2980,useful love videos thoughts sas heard industry standard lot big companies use think worth devoting time,0.502,0.0,0.498,0.9022,Positive
2981,data science friends anyone learn study pretty chill shoot message discord ,0.342,0.277,0.38,0.296,Positive
2982,need masters degree good data scientist,0.367,0.0,0.633,0.4404,Positive
2983,mate discouraging 😒,0.0,0.744,0.256,-0.4404,Negative
2984,think cannot compare back lot quality courses people willing share ie handsome also become acceptable normal people take online courses rather attending physical schools,0.268,0.0,0.732,0.7717,Positive
2985,ken jee thanks sharing personal experiences grad school right love listening podcasts runs ,0.497,0.0,0.503,0.872,Positive
2986,hear ya languages intro data science course used teach positioned class language agnostic ended every demo excel r python made head spin constantly crossing syntaxes working python past year made difference,0.094,0.0,0.906,0.4588,Positive
2987,shift  right click quick powershell directory ,0.0,0.0,1.0,0.0,Neutral
2988,hey ken started online data science degree past jan  wondering couple thingswhy exactly design principles course helpful  also curriculumis uncommon continue taking classes working internshipsi work full time nervous leaving job find internships without promise job afterwards  thinking might start searching internships classes left might finish degree internship,0.054,0.078,0.868,-0.0675,Negative
2989,focusing one language time feel go back forth python r internship coursework made take longer build understanding addition one thing isnt really talked mental health data feel mental health burnout two ways led personal career setback would great topics believe could add significant valuethanks transparent,0.123,0.0,0.877,0.7096,Positive
2990,thanks sharing experience us,0.74,0.0,0.26,0.6908,Positive
2991,nice video ken loved philosophical ending words,0.573,0.0,0.427,0.7717,Positive
2992,i’m starting  videos inspired,0.516,0.0,0.484,0.4939,Positive
2993,hi mr keni  year old junior high school student currently living dubai planning data scientist future likely going undergraduate computer science ubc wanted ask advice starting journey one yeari also wanted add find content helpful hope everything goes well,0.178,0.0,0.822,0.7783,Positive
2994,alternate question starting scratch today knowledge regrets struggles keeping mind everything changed since began continues evolve would proceed specifically would learn python many ways applied like saying learn use computer,0.072,0.145,0.783,-0.3612,Negative
2995,biggest obstacle companies hard prior experience haven’t done project specific technology stack look elsewhere even you’re better data scientist data engineer whatever want call terms learning new things motivated taking pride work etc,0.237,0.096,0.667,0.6908,Positive
2996,im way data scientist kaggle python learned ill learn python utube videos ml neural network deep network side wise kaggle projects hows plan sir,0.111,0.1,0.789,0.0772,Positive
2997,im starting library info science masters certificate advance study data science full ride def nervous hope follow data courses wish knew get data science courses bv im worried maintaining gpa scholarships,0.152,0.117,0.732,0.3182,Positive
2998,like ,1.0,0.0,0.0,0.3612,Positive
2999,greatly explainedmy regrets  structured studies followed religiously  always changing resources sticking one wished knew working intern startup role doenst define work working startup bug hassel proper guidance something lacks course get lot knowledge experiences,0.0,0.078,0.922,-0.4173,Negative
3000,believe usually tend choose optimal strategy based present situation whose benefits seen long term example morocco get masters degree online courses assignments exams take time energy  yet cant decide study ds home pursue masters degree wont qualify job offers time pursuing economic analysis modelling introduced ds  although studying free home would saved much time money effort im sure id follow path wasnt already formally stuyding  also believe wouldnt bother us today youtube socially active university studied one degree  said im glad things turned way,0.237,0.0,0.763,0.9654,Positive
3001,spamming begins,0.0,0.756,0.244,-0.4767,Negative
3002,also confused r python started learning python jobs work want python 😀hey dont mind one question learned c java data science  nice community🙌🙌what different ways documenting journey like youtube videos blogs anything else suggestliterally im also regreting projects college also failed utilise lockdown time joined company less time sometimesbut also good whatever happens happens good keeping mindset helping go ahead 😀,0.208,0.08,0.712,0.7906,Positive
3003,ah ken immense love field ill trying apply wish free resources like kaggle pakistan dont even paypal access course well thank video ❤️🥺 gonna go back work,0.431,0.07,0.499,0.926,Positive
3004,heck yeah  fell trap r  python  luckily finally figured go better language hehe,0.449,0.123,0.428,0.7269,Positive
3005,finished round   day gain people might ask well got accepted work dsml project company yesterday online coursebootcamp could give results quickly guess😂,0.286,0.0,0.714,0.765,Positive
3006, let’s go  🚀 🚀  resonated well obstacles failures helps us improve ray dalio puts pain  reflection  progress oh noticed nice brachiosaurus background,0.387,0.261,0.352,0.5106,Positive
3007,thank sharing regrets also apply,0.541,0.255,0.204,0.4215,Positive
3008,well done ken,0.512,0.0,0.488,0.2732,Positive
3009,hope channel growsyou really try help community lot,0.495,0.0,0.505,0.7076,Positive
3010,seeing videos motivates,0.0,0.0,1.0,0.0,Neutral
3011,wink 😆😍,0.0,0.0,1.0,0.0,Neutral
3012,really struggling retention thats biggest struggle biggest regret starting sooner  im worried potential agism able move accept job im ever able finally grasp,0.084,0.335,0.581,-0.7778,Negative
3013,solid execution love haha,0.898,0.0,0.102,0.8316,Positive
3014,yeah points worth considering journey well thanks sharing ken,0.748,0.0,0.252,0.872,Positive
3015,starting dont know regret starting python write code get distracted start learning something else  youtube suggested much reprimanded try learn first thing started hope ill able get hold things,0.148,0.147,0.706,0.0083,Neutral
3016,q   happened trex regrets see carnivore changed brachiosaurus get juicy papaya 🤣,0.0,0.217,0.783,-0.3612,Negative
3017,first comment yes 💪 going watch video,0.351,0.0,0.649,0.4019,Positive
3018,waiting shoot,0.0,0.706,0.294,-0.34,Negative
3019,certainly dont regret sharing experiences  hopefully learn mistakes special thanks  data science supporting channel link  annual membership ,0.535,0.162,0.302,0.8779,Positive
3020,really anaware points system basketball 🏀 really good analysisone thing sure players need focused  throwing basketball towards hoop 😀 makes game challenging may increase customer engagement,0.454,0.0,0.546,0.9184,Positive
3021,nice video maybe could analysis every semester show us highlights celebrate think would great new years eve jaja greetings peru,0.456,0.0,0.544,0.9246,Positive
3022,correct wrong observe analytics also past like coaches players used study like improvement area focus similar attributes use days due modern tools algorithms organized accurate,0.249,0.097,0.654,0.5994,Positive
3023,hi ken first  love content would encourage keep experimenting   secondly recently landed internship posiiton fitness company prefer keep unnamed probably work projects use ds ml improving athletes performances recommendations books content related subject check till summer knock park  thanks ,0.31,0.0,0.69,0.936,Positive
3024,looks like productive day like book reading plus cardio activity time,0.357,0.0,0.643,0.6124,Positive
3025,great job explaining approach solving task hand walking us process im wanting know would next steps someone wanting use competition learn data science  like dont detailed understanding  algorithms used competition  would best pick one produced best score learn tune particular algorithm model metrics get better score would best transfer process another beginner competition altogether create better understanding complete data science process whole,0.386,0.0,0.614,0.9858,Positive
3026, sound scary introverted person 😅thank tips links related lot work ready 👩🏻‍💻,0.159,0.204,0.637,-0.1779,Negative
3027,great job really like showed process tools streamlit new apis pain need practice using apis definitely opened mindset taking project dealing getting data using api able problem solve issues thanks sharing,0.371,0.13,0.499,0.8777,Positive
3028,always watching charming man without speeding totally intrigued,0.352,0.0,0.648,0.5859,Positive
3029,way top 😅,0.643,0.0,0.357,0.2023,Positive
3030,nice,1.0,0.0,0.0,0.4215,Positive
3031,one open secrets presenting problem live coding session scary,0.0,0.457,0.543,-0.7096,Negative
3032,balance time working full time software engineering job working ds project gym watching content 😁,0.0,0.0,1.0,0.0,Neutral
3033,"always getting error  help thatnosuchelementexception message element unable locate element methodcss selectorselectorselected  session info ",0.155,0.155,0.69,0.0,Neutral
3034,thank guidelines resources 😀🙌,0.455,0.0,0.545,0.3612,Positive
3035,ill farmer grow green tea,0.0,0.412,0.588,-0.4215,Negative
3036,good stuff thank sharing taking online courses videos give helpful insights also like short length videos efficient thanks,0.636,0.0,0.364,0.9531,Positive
3037,learn arcgis want video ,0.302,0.0,0.698,0.0772,Positive
3038, hey ken year went wrote understandable code attended  ds events think tricky things cant control updated readme ➡️ github participated kaggle competitions made projects accessible ✅ think kill one  year knew great journeyi making accountable 😅,0.099,0.152,0.749,-0.296,Negative
3039,rename day life ml maestro  maestro might ask well often hear data science machine learning ai described art science thats ,0.1,0.0,0.9,0.2732,Positive
3040,thank ds internship vids im preparing interview ds position rn youre helping lot,0.299,0.0,0.701,0.5719,Positive
3041,interested pursuing career clinical psychology halfway realized loved working data currently junior college bit stressed feel like im late game glad seemed found right fit said,0.395,0.065,0.541,0.9042,Positive
3042, really insightful check  python code packages calling bring data 👩🏻‍💻thank sharing knowledge seems easy easy time play data 🏀 ,0.44,0.0,0.56,0.875,Positive
3043,hi ken ba comsci good course data science,0.293,0.0,0.707,0.4404,Positive
3044,great video ken love whiteboarding amazing outdoor shots,0.708,0.0,0.292,0.9201,Positive
3045,sports analytics really adopted many reputed clubs teams india also ipl teams using well australian team also shared using sports analytics also saw moneyball movie really amazing,0.264,0.0,0.736,0.8221,Positive
3046,hi backend software engineer mostly use nodejs become data scientists,0.0,0.0,1.0,0.0,Neutral
3047,title clickbait titled quit data science ,0.0,0.0,1.0,0.0,Neutral
3048,youre man found channel loving content im interested exploring data science baseball stuff relevant,0.355,0.0,0.645,0.765,Positive
3049,excited see speaker datacated,0.444,0.0,0.556,0.34,Positive
3050,anyway get recruiter notice dont aquaintance friends recruitersthanks advance,0.0,0.242,0.758,-0.3724,Negative
3051,whiteboard game strong audio game strong phone drawer game strong dad nap game strong stand desk game strong riding bike whilst reading made laugh hahaha game strong scarf game strongalso never eaten vietnamese food wtf,0.475,0.067,0.458,0.9726,Positive
3052,hi ken miles davis said time isnt main thing thing cheers,0.237,0.0,0.763,0.4767,Positive
3053,loved vlog style  great place like joke around dad  god bless,0.779,0.0,0.221,0.9485,Positive
3054,haha indeed win battle thank video gonna create categories time battle,0.528,0.241,0.231,0.7351,Positive
3055, love honesty getting field sports betting also business like analysis  insights data sports perspective videos really helpful always thank ,0.53,0.0,0.47,0.9409,Positive
3056,yes great job productive day life  desk uplift looks amazing get herman miller go 😆 papayas seems family favorite 😆,0.493,0.0,0.507,0.9274,Positive
3057,vlogs  didnt vlog include token wakeup scene  ya know people record waking werent already 🤔,0.0,0.0,1.0,0.0,Neutral
3058,handwriting nice tho also loved vlog  pls,0.667,0.0,0.333,0.7906,Positive
3059,wow location beautiful driving car 😍i think love papaya much 😂 story behind thatalso schedule really good also clocks cool😀,0.502,0.0,0.498,0.9441,Positive
3060,shot showing equipment  dont see making videos haha seemed like productive day,0.355,0.0,0.645,0.6705,Positive
3061,ken got done  hours weeki took  naps saturday lolin honesty white board method ive adopted life hanger recommend everyone burmese food,0.231,0.0,0.769,0.6908,Positive
3062,like vlog feel closed us,0.385,0.0,0.615,0.3612,Positive
3063,wow wonderful day,0.882,0.0,0.118,0.8176,Positive
3064,smilling video particular reason,0.0,0.0,1.0,0.0,Neutral
3065,love vlog slight recommendation  change workout surfing😉,0.412,0.0,0.588,0.6369,Positive
3066,lovely desk thanks giving insight important topic,0.784,0.0,0.216,0.872,Positive
3067,great time management wish could productive well got inspiration go forward then🏃‍♀️😂💯,0.606,0.0,0.394,0.9062,Positive
3068,really wish book thinking buying hands ml book damn cost  currency 😂😂💯,0.191,0.172,0.637,0.0754,Positive
3069,nice one ken keep good content also spotted usuals   😅,0.449,0.0,0.551,0.6908,Positive
3070,wow youre really becoming fav u tube hope meet u one day drink coffee together,0.499,0.0,0.501,0.8744,Positive
3071,youre going greattt loved video,0.494,0.0,0.506,0.5994,Positive
3072,hey ken manage reading books retain info efficiently im reading tha hands machine learning like take notes reading takes long 🥺,0.224,0.0,0.776,0.6369,Positive
3073,great  video issue,0.672,0.0,0.328,0.6249,Positive
3074,book need read cricket,0.0,0.0,1.0,0.0,Neutral
3075,thanks watching everyone let know comments would like see vlog style videos like,0.441,0.0,0.559,0.7845,Positive
3076,thank much worked ,0.556,0.0,0.444,0.3612,Positive
3077, oh never tried skiing sure always think safe 😅 giving reason like emphatic love ds needed make meaningful like things life require commitment study community ,0.519,0.053,0.428,0.9472,Positive
3078,thankyou much information ken❤️no doubt told everything ill also read paper❤️🤩,0.0,0.371,0.629,-0.6486,Negative
3079,amazing get ideas mind picking projects stuff❤️,0.388,0.0,0.612,0.5859,Positive
3080,wait haven’t commented earlier must javascript induced coma oo,0.0,0.0,1.0,0.0,Neutral
3081,hi ken undergraduate senior majoring mis korea since dont know anything job market us really want ask question courses offer online classess give masters degree campus course think possible get internship job offer internship usfor would like taking class korea go us internship course almost overthank video,0.083,0.0,0.917,0.4754,Positive
3082,ew cfop,0.0,0.0,1.0,0.0,Neutral
3083,short insightful videogreat thanks,0.492,0.0,0.508,0.4404,Positive
3084,useful easy follow nice,0.896,0.0,0.104,0.8225,Positive
3085,great video,0.804,0.0,0.196,0.6249,Positive
3086,case confused multiplying hourly rate  happens hood      daysweek   weeks  year  weeks  weeks assigned holidays vacation time,0.138,0.122,0.741,0.0772,Positive
3087,thought sign quit data science,0.0,0.0,1.0,0.0,Neutral
3088,hey ken diploma  year sufficient  get job,0.0,0.0,1.0,0.0,Neutral
3089,good project portfolio,0.592,0.0,0.408,0.4404,Positive
3090,"hello ken thanks uploading helpful series really helping understand basics well  i question data collection data collection supposed onetime process repeated data source changed taking example glassdoor data around salary change time decide often recollect data website structure changes often hinders scraping process example data scrapper code referenced doesnt work well run many locators changed would also keep changes glassdoor web structure mitigate problem",0.172,0.037,0.791,0.8268,Positive
3091,hi ken jee data science industry require degree diploma get shortlist easily basis ,0.167,0.0,0.833,0.34,Positive
3092,hi loved video super informative question though ill actually starting first corporate job sports analyst focusing second example really want get involved first type sports analysis focusing performance way crosstrain preparation performance role fulfilling role sports analyst focusing odds,0.199,0.059,0.742,0.7645,Positive
3093,leaning frustration boredom  times  working,0.0,0.643,0.357,-0.6597,Negative
3094,actually learned r somewhat college days syllabus good yes medical research relevant right learning python days think r may useful days many predictions research covid,0.298,0.0,0.702,0.8176,Positive
3095,best advice stressed  go get hands dirty data,0.29,0.366,0.345,-0.0258,Neutral
3096,agree ,1.0,0.0,0.0,0.3612,Positive
3097,thank solving problem become data scientist without computer,0.389,0.214,0.397,0.296,Positive
3098, valuable thank im reading mathletics wondering found books information related endurancepower sports disciplines track  field swimming marathon weightlifting etcthank sharing info much take read ,0.286,0.0,0.714,0.8126,Positive
3099,even still working try query user info everytime user info nonetype,0.0,0.0,1.0,0.0,Neutral
3100,thank ken i’m starting scratch clue steps take find getting overwhelmed trying different things simply mind sharing link curriculum would help much keep track set goals move good pace,0.335,0.0,0.665,0.8779,Positive
3101,would consider one linear regression example suggested  beginners’ projects it’s aimes housing prices project,0.0,0.0,1.0,0.0,Neutral
3102, medium link resource really interesting thank sharing itin math found super helpful statquest youtube channel concepts digestible easy understandyou good combination ds knowledge ,0.571,0.0,0.429,0.9654,Positive
